no_of_nodes, 10, 60, 110, 160, 210, 260, 310, 360, 410, 460, 510, 560, 610, 660, 710, 760, 810, 860, 910, 960, 1010, 1060, 
speedup, 0.142442, 4.370819, 2.627474, 2.417334, 2.706504, 3.027305, 3.301822, 3.614327, 3.738970, 3.851430, 3.919881, 3.950192, 3.841923, 3.800508, 3.048716, 4.256671, 4.053152, 4.044513, 3.990752, 4.056900, 3.937498, 4.074651, 
serial_time, 0, 9, 26, 65, 137, 259, 430, 672, 989, 1398, 1904, 2485, 3208, 4191, 5296, 7098, 7937, 9211, 10812, 12700, 14881, 17403, 
parallel_time, 0, 2, 10, 26, 50, 85, 130, 186, 264, 363, 485, 629, 835, 1102, 1737, 1667, 1958, 2277, 2709, 3130, 3779, 4271, 
no_of_threads, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20,
speedup, 1.024423, 1.804452, 2.562682, 4.281770, 3.044055, 3.721787, 4.161798, 4.858617, 2.639906, 2.200895, 2.309802, 2.251599, 2.827546, 2.656876, 3.397534, 2.489104, 2.632571, 3.077749, 2.842002, 3.117722,
